datetime,vol,op,comp1p,comp2p,comp3p,hour,day_of_week,month
2023-05-13 18:00:00,72.16,1.733771,1.725,1.741,1.739666667,18,5,5
2023-05-13 19:00:00,140.47,1.752965,1.7435,1.764,1.754,19,5,5
2023-05-13 20:00:00,57.18,1.749221,1.729666667,1.7515,1.746,20,5,5
2023-05-13 21:00:00,52.48,1.742398,1.710166667,1.719,1.729,21,5,5
2023-05-14 06:00:00,40.96,1.70884,1.7167222223333334,1.738,1.7406666666666668,6,6,5
2023-05-14 07:00:00,31.92,1.828911,1.7232777776666666,1.7570000000000001,1.7523333333333333,7,6,5
2023-05-14 09:00:00,44.77,1.748943,1.729833333,1.776,1.764,9,6,5
2023-05-14 10:00:00,31.77,1.728951,1.740166667,1.7775,1.751333333,10,6,5
2023-05-14 11:00:00,105.99,1.722748,1.719166667,1.7295,1.729166667,11,6,5
2023-05-14 12:00:00,94.08,1.772446,1.7355,1.786,1.785666667,12,6,5
2023-05-14 13:00:00,146.88,1.769006,1.755,1.781,1.7825,13,6,5
2023-05-14 14:00:00,63.54,1.769054,1.739,1.768,1.766666667,14,6,5
2023-05-14 15:00:00,50.65,1.789106,1.777,1.809,1.805,15,6,5
2023-05-14 16:00:00,11.42,1.768221,1.757666667,1.788,1.777166667,16,6,5
2023-05-14 17:00:00,138.69,1.772957,1.750666667,1.7905,1.774,17,6,5
2023-05-14 18:00:00,229.32,1.754604,1.744666667,1.761,1.759166667,18,6,5
2023-05-14 19:00:00,116.13,1.76237,1.7635,1.777,1.774,19,6,5
2023-05-14 20:00:00,177.17,1.761408,1.756333333,1.759,1.766333333,20,6,5
2023-05-14 21:00:00,167.27,1.728866,1.719166667,1.722,1.749,21,6,5
2023-05-15 06:00:00,45.76,1.72907,1.742333333,1.773915254,1.749,6,0,5
2023-05-15 07:00:00,32.15,1.828792,1.809,1.839,1.749,7,0,5
2023-05-15 08:00:00,35.14,1.828911,1.779333333,1.825,1.802166667,8,0,5
2023-05-15 09:00:00,77.48,1.828971,1.778166667,1.8615,1.834,9,0,5
2023-05-15 10:00:00,121.51,1.819064,1.7925,1.841,1.8125,10,0,5
2023-05-15 11:00:00,146.17,1.774933,1.751333333,1.7915,1.7715,11,0,5
2023-05-15 12:00:00,23.4,1.792378,1.784,1.837,1.825666667,12,0,5
2023-05-15 13:00:00,37.85,1.808562,1.801333333,1.8285,1.8225,13,0,5
2023-05-15 15:00:00,120.33,1.828584,1.809,1.839,1.845,15,0,5
2023-05-15 16:00:00,71.97,1.805865,1.803,1.815,1.808666667,16,0,5
2023-05-15 17:00:00,66.57,1.794193,1.775166667,1.8135,1.804,17,0,5
2023-05-15 18:00:00,173.89,1.780342,1.764333333,1.767,1.781,18,0,5
2023-05-15 19:00:00,60.01,1.784137,1.7635,1.769,1.794,19,0,5
2023-05-15 20:00:00,42.99,1.778693,1.747166667,1.749,1.771833333,20,0,5
2023-05-15 21:00:00,161.24,1.718955,1.7025,1.712,1.749,21,0,5
2023-05-16 06:00:00,69.58,1.718955,1.735666667,1.768491525,1.749,6,1,5
2023-05-16 07:00:00,10.94,1.829506,1.809,1.8385,1.749,7,1,5
2023-05-16 10:00:00,61.56,1.799042,1.79,1.829,1.801,10,1,5
2023-05-16 11:00:00,178.75,1.778931,1.784333333,1.7995,1.788,11,1,5
2023-05-16 12:00:00,8.03,1.840752,1.804,1.855,1.845666667,12,1,5
2023-05-16 13:00:00,10.94,1.829506,1.8235,1.8455,1.8425,13,1,5
2023-05-16 14:00:00,64.72,1.82903,1.808,1.828,1.833,14,1,5
2023-05-16 15:00:00,39.33,1.848903,1.837,1.861333333,1.861,15,1,5
